id,Height,Diameter,LeafArea,FreshWeightShoot,Variety,DryWeightShoot,_original_id
73,8.7,19.3,480.4,34.0,Aphylion,2.1,12
74,8.7,19.3,480.4,34.0,Aphylion,2.1,12
75,8.7,19.3,480.4,34.0,Aphylion,2.1,12
76,8.7,19.3,480.4,34.0,Aphylion,2.1,12
77,8.7,19.3,480.4,34.0,Aphylion,2.1,12
78,8.7,19.3,480.4,34.0,Aphylion,2.1,12
79,8.6,20.1,675.5,37.0,Aphylion,1.98,13
80,8.6,20.1,675.5,37.0,Aphylion,1.98,13
81,8.6,20.1,675.5,37.0,Aphylion,1.98,13
82,8.6,20.1,675.5,37.0,Aphylion,1.98,13
83,8.6,20.1,675.5,37.0,Aphylion,1.98,13
84,8.6,20.1,675.5,37.0,Aphylion,1.98,13
85,8.1,16.3,543.5,24.5,Aphylion,1.7,14
86,8.1,16.3,543.5,24.5,Aphylion,1.7,14
87,8.1,16.3,543.5,24.5,Aphylion,1.7,14
88,8.1,16.3,543.5,24.5,Aphylion,1.7,14
89,8.1,16.3,543.5,24.5,Aphylion,1.7,14
90,8.1,16.3,543.5,24.5,Aphylion,1.7,14
103,7.0,20.1,561.3,26.7,Aphylion,2.24,17
104,7.0,20.1,561.3,26.7,Aphylion,2.24,17
105,7.0,20.1,561.3,26.7,Aphylion,2.24,17
106,7.0,20.1,561.3,26.7,Aphylion,2.24,17
107,7.0,20.1,561.3,26.7,Aphylion,2.24,17
108,7.0,20.1,561.3,26.7,Aphylion,2.24,17
121,13.1,19.5,1318.9,74.3,Aphylion,3.46,20
122,13.1,19.5,1318.9,74.3,Aphylion,3.46,20
123,13.1,19.5,1318.9,74.3,Aphylion,3.46,20
124,13.1,19.5,1318.9,74.3,Aphylion,3.46,20
125,13.1,19.5,1318.9,74.3,Aphylion,3.46,20
126,13.1,19.5,1318.9,74.3,Aphylion,3.46,20
127,11.0,20.3,1073.6,60.1,Aphylion,4.02,21
128,11.0,20.3,1073.6,60.1,Aphylion,4.02,21
129,11.0,20.3,1073.6,60.1,Aphylion,4.02,21
130,11.0,20.3,1073.6,60.1,Aphylion,4.02,21
131,11.0,20.3,1073.6,60.1,Aphylion,4.02,21
132,11.0,20.3,1073.6,60.1,Aphylion,4.02,21
133,12.4,17.0,1133.6,53.9,Aphylion,2.89,22
134,12.4,17.0,1133.6,53.9,Aphylion,2.89,22
135,12.4,17.0,1133.6,53.9,Aphylion,2.89,22
136,12.4,17.0,1133.6,53.9,Aphylion,2.89,22
137,12.4,17.0,1133.6,53.9,Aphylion,2.89,22
138,12.4,17.0,1133.6,53.9,Aphylion,2.89,22
139,9.5,17.2,573.8,28.6,Aphylion,2.35,23
140,9.5,17.2,573.8,28.6,Aphylion,2.35,23
141,9.5,17.2,573.8,28.6,Aphylion,2.35,23
142,9.5,17.2,573.8,28.6,Aphylion,2.35,23
143,9.5,17.2,573.8,28.6,Aphylion,2.35,23
144,9.5,17.2,573.8,28.6,Aphylion,2.35,23
145,12.4,16.9,915.1,44.9,Aphylion,2.02,24
146,12.4,16.9,915.1,44.9,Aphylion,2.02,24
147,12.4,16.9,915.1,44.9,Aphylion,2.02,24
148,12.4,16.9,915.1,44.9,Aphylion,2.02,24
149,12.4,16.9,915.1,44.9,Aphylion,2.02,24
150,12.4,16.9,915.1,44.9,Aphylion,2.02,24
157,12.1,22.1,1460.4,79.8,Aphylion,3.81,26
158,12.1,22.1,1460.4,79.8,Aphylion,3.81,26
159,12.1,22.1,1460.4,79.8,Aphylion,3.81,26
160,12.1,22.1,1460.4,79.8,Aphylion,3.81,26
161,12.1,22.1,1460.4,79.8,Aphylion,3.81,26
162,12.1,22.1,1460.4,79.8,Aphylion,3.81,26
163,11.2,19.5,1646.4,88.1,Aphylion,4.68,27
164,11.2,19.5,1646.4,88.1,Aphylion,4.68,27
165,11.2,19.5,1646.4,88.1,Aphylion,4.68,27
166,11.2,19.5,1646.4,88.1,Aphylion,4.68,27
167,11.2,19.5,1646.4,88.1,Aphylion,4.68,27
168,11.2,19.5,1646.4,88.1,Aphylion,4.68,27
169,15.0,26.0,2453.6,163.0,Aphylion,6.82,28
170,15.0,26.0,2453.6,163.0,Aphylion,6.82,28
171,15.0,26.0,2453.6,163.0,Aphylion,6.82,28
172,15.0,26.0,2453.6,163.0,Aphylion,6.82,28
173,15.0,26.0,2453.6,163.0,Aphylion,6.82,28
174,15.0,26.0,2453.6,163.0,Aphylion,6.82,28
175,14.0,22.0,2502.9,157.0,Aphylion,7.16,29
176,14.0,22.0,2502.9,157.0,Aphylion,7.16,29
177,14.0,22.0,2502.9,157.0,Aphylion,7.16,29
178,14.0,22.0,2502.9,157.0,Aphylion,7.16,29
179,14.0,22.0,2502.9,157.0,Aphylion,7.16,29
180,14.0,22.0,2502.9,157.0,Aphylion,7.16,29
187,16.5,20.0,1979.5,129.0,Aphylion,6.16,31
188,16.5,20.0,1979.5,129.0,Aphylion,6.16,31
189,16.5,20.0,1979.5,129.0,Aphylion,6.16,31
190,16.5,20.0,1979.5,129.0,Aphylion,6.16,31
191,16.5,20.0,1979.5,129.0,Aphylion,6.16,31
192,16.5,20.0,1979.5,129.0,Aphylion,6.16,31
193,17.5,30.6,2525.2,164.8,Aphylion,9.24,32
194,17.5,30.6,2525.2,164.8,Aphylion,9.24,32
195,17.5,30.6,2525.2,164.8,Aphylion,9.24,32
196,17.5,30.6,2525.2,164.8,Aphylion,9.24,32
197,17.5,30.6,2525.2,164.8,Aphylion,9.24,32
198,17.5,30.6,2525.2,164.8,Aphylion,9.24,32
199,20.5,25.0,3734.2,261.9,Aphylion,12.31,33
200,20.5,25.0,3734.2,261.9,Aphylion,12.31,33
201,20.5,25.0,3734.2,261.9,Aphylion,12.31,33
202,20.5,25.0,3734.2,261.9,Aphylion,12.31,33
203,20.5,25.0,3734.2,261.9,Aphylion,12.31,33
204,20.5,25.0,3734.2,261.9,Aphylion,12.31,33
205,20.1,25.3,2979.7,162.9,Aphylion,8.15,34
206,20.1,25.3,2979.7,162.9,Aphylion,8.15,34
207,20.1,25.3,2979.7,162.9,Aphylion,8.15,34
208,20.1,25.3,2979.7,162.9,Aphylion,8.15,34
209,20.1,25.3,2979.7,162.9,Aphylion,8.15,34
210,20.1,25.3,2979.7,162.9,Aphylion,8.15,34
211,20.5,30.2,3261.9,223.2,Aphylion,10.32,35
212,20.5,30.2,3261.9,223.2,Aphylion,10.32,35
213,20.5,30.2,3261.9,223.2,Aphylion,10.32,35
214,20.5,30.2,3261.9,223.2,Aphylion,10.32,35
215,20.5,30.2,3261.9,223.2,Aphylion,10.32,35
216,20.5,30.2,3261.9,223.2,Aphylion,10.32,35
217,22.0,34.0,3698.7,245.6,Aphylion,9.59,36
218,22.0,34.0,3698.7,245.6,Aphylion,9.59,36
219,22.0,34.0,3698.7,245.6,Aphylion,9.59,36
220,22.0,34.0,3698.7,245.6,Aphylion,9.59,36
221,22.0,34.0,3698.7,245.6,Aphylion,9.59,36
222,22.0,34.0,3698.7,245.6,Aphylion,9.59,36
223,20.0,29.3,2395.0,156.0,Aphylion,6.47,37
224,20.0,29.3,2395.0,156.0,Aphylion,6.47,37
225,20.0,29.3,2395.0,156.0,Aphylion,6.47,37
226,20.0,29.3,2395.0,156.0,Aphylion,6.47,37
227,20.0,29.3,2395.0,156.0,Aphylion,6.47,37
228,20.0,29.3,2395.0,156.0,Aphylion,6.47,37
229,20.1,29.8,3805.5,208.8,Aphylion,9.98,38
230,20.1,29.8,3805.5,208.8,Aphylion,9.98,38
231,20.1,29.8,3805.5,208.8,Aphylion,9.98,38
232,20.1,29.8,3805.5,208.8,Aphylion,9.98,38
233,20.1,29.8,3805.5,208.8,Aphylion,9.98,38
234,20.1,29.8,3805.5,208.8,Aphylion,9.98,38
235,22.5,27.5,3537.2,229.8,Aphylion,9.75,39
236,22.5,27.5,3537.2,229.8,Aphylion,9.75,39
237,22.5,27.5,3537.2,229.8,Aphylion,9.75,39
238,22.5,27.5,3537.2,229.8,Aphylion,9.75,39
239,22.5,27.5,3537.2,229.8,Aphylion,9.75,39
240,22.5,27.5,3537.2,229.8,Aphylion,9.75,39
241,21.5,30.0,4073.6,303.1,Aphylion,12.62,40
242,21.5,30.0,4073.6,303.1,Aphylion,12.62,40
243,21.5,30.0,4073.6,303.1,Aphylion,12.62,40
244,21.5,30.0,4073.6,303.1,Aphylion,12.62,40
245,21.5,30.0,4073.6,303.1,Aphylion,12.62,40
246,21.5,30.0,4073.6,303.1,Aphylion,12.62,40
247,23.1,27.2,4606.6,263.2,Aphylion,12.17,41
248,23.1,27.2,4606.6,263.2,Aphylion,12.17,41
249,23.1,27.2,4606.6,263.2,Aphylion,12.17,41
250,23.1,27.2,4606.6,263.2,Aphylion,12.17,41
251,23.1,27.2,4606.6,263.2,Aphylion,12.17,41
252,23.1,27.2,4606.6,263.2,Aphylion,12.17,41
253,25.0,32.0,5316.5,459.7,Aphylion,16.64,42
254,25.0,32.0,5316.5,459.7,Aphylion,16.64,42
255,25.0,32.0,5316.5,459.7,Aphylion,16.64,42
256,25.0,32.0,5316.5,459.7,Aphylion,16.64,42
257,25.0,32.0,5316.5,459.7,Aphylion,16.64,42
258,25.0,32.0,5316.5,459.7,Aphylion,16.64,42
259,24.5,33.0,4516.2,364.8,Aphylion,14.69,43
260,24.5,33.0,4516.2,364.8,Aphylion,14.69,43
261,24.5,33.0,4516.2,364.8,Aphylion,14.69,43
262,24.5,33.0,4516.2,364.8,Aphylion,14.69,43
263,24.5,33.0,4516.2,364.8,Aphylion,14.69,43
264,24.5,33.0,4516.2,364.8,Aphylion,14.69,43
265,24.0,34.5,4995.6,444.7,Aphylion,17.24,44
266,24.0,34.5,4995.6,444.7,Aphylion,17.24,44
267,24.0,34.5,4995.6,444.7,Aphylion,17.24,44
268,24.0,34.5,4995.6,444.7,Aphylion,17.24,44
269,24.0,34.5,4995.6,444.7,Aphylion,17.24,44
270,24.0,34.5,4995.6,444.7,Aphylion,17.24,44
277,22.0,40.0,4891.7,414.2,Aphylion,18.21,46
278,22.0,40.0,4891.7,414.2,Aphylion,18.21,46
279,22.0,40.0,4891.7,414.2,Aphylion,18.21,46
280,22.0,40.0,4891.7,414.2,Aphylion,18.21,46
281,22.0,40.0,4891.7,414.2,Aphylion,18.21,46
282,22.0,40.0,4891.7,414.2,Aphylion,18.21,46
283,22.0,33.2,5218.3,268.9,Aphylion,11.77,47
284,22.0,33.2,5218.3,268.9,Aphylion,11.77,47
285,22.0,33.2,5218.3,268.9,Aphylion,11.77,47
286,22.0,33.2,5218.3,268.9,Aphylion,11.77,47
287,22.0,33.2,5218.3,268.9,Aphylion,11.77,47
288,22.0,33.2,5218.3,268.9,Aphylion,11.77,47
289,21.0,34.5,6875.4,313.1,Aphylion,14.15,48
290,21.0,34.5,6875.4,313.1,Aphylion,14.15,48
291,21.0,34.5,6875.4,313.1,Aphylion,14.15,48
292,21.0,34.5,6875.4,313.1,Aphylion,14.15,48
293,21.0,34.5,6875.4,313.1,Aphylion,14.15,48
294,21.0,34.5,6875.4,313.1,Aphylion,14.15,48
295,21.0,30.0,3398.0,247.1,Aphylion,13.42,49
296,21.0,30.0,3398.0,247.1,Aphylion,13.42,49
297,21.0,30.0,3398.0,247.1,Aphylion,13.42,49
298,21.0,30.0,3398.0,247.1,Aphylion,13.42,49
299,21.0,30.0,3398.0,247.1,Aphylion,13.42,49
300,21.0,30.0,3398.0,247.1,Aphylion,13.42,49
301,18.0,32.5,4260.7,314.0,Aphylion,15.84,50
302,18.0,32.5,4260.7,314.0,Aphylion,15.84,50
303,18.0,32.5,4260.7,314.0,Aphylion,15.84,50
304,18.0,32.5,4260.7,314.0,Aphylion,15.84,50
305,18.0,32.5,4260.7,314.0,Aphylion,15.84,50
306,18.0,32.5,4260.7,314.0,Aphylion,15.84,50
307,19.5,34.0,5136.8,309.1,Aphylion,13.61,51
308,19.5,34.0,5136.8,309.1,Aphylion,13.61,51
309,19.5,34.0,5136.8,309.1,Aphylion,13.61,51
310,19.5,34.0,5136.8,309.1,Aphylion,13.61,51
311,19.5,34.0,5136.8,309.1,Aphylion,13.61,51
312,19.5,34.0,5136.8,309.1,Aphylion,13.61,51
313,20.5,37.0,5868.0,371.0,Aphylion,15.41,52
314,20.5,37.0,5868.0,371.0,Aphylion,15.41,52
315,20.5,37.0,5868.0,371.0,Aphylion,15.41,52
316,20.5,37.0,5868.0,371.0,Aphylion,15.41,52
317,20.5,37.0,5868.0,371.0,Aphylion,15.41,52
318,20.5,37.0,5868.0,371.0,Aphylion,15.41,52
319,22.0,32.0,4991.0,292.4,Aphylion,14.07,53
320,22.0,32.0,4991.0,292.4,Aphylion,14.07,53
321,22.0,32.0,4991.0,292.4,Aphylion,14.07,53
322,22.0,32.0,4991.0,292.4,Aphylion,14.07,53
323,22.0,32.0,4991.0,292.4,Aphylion,14.07,53
324,22.0,32.0,4991.0,292.4,Aphylion,14.07,53
325,23.0,40.0,5116.4,405.7,Aphylion,16.71,54
326,23.0,40.0,5116.4,405.7,Aphylion,16.71,54
327,23.0,40.0,5116.4,405.7,Aphylion,16.71,54
328,23.0,40.0,5116.4,405.7,Aphylion,16.71,54
329,23.0,40.0,5116.4,405.7,Aphylion,16.71,54
330,23.0,40.0,5116.4,405.7,Aphylion,16.71,54
331,8.4,13.4,107.8,3.3,Lugano,0.14,55
332,8.4,13.4,107.8,3.3,Lugano,0.14,55
333,8.4,13.4,107.8,3.3,Lugano,0.14,55
334,8.4,13.4,107.8,3.3,Lugano,0.14,55
335,8.4,13.4,107.8,3.3,Lugano,0.14,55
336,8.4,13.4,107.8,3.3,Lugano,0.14,55
337,8.3,12.2,79.8,2.5,Lugano,0.1,56
338,8.3,12.2,79.8,2.5,Lugano,0.1,56
339,8.3,12.2,79.8,2.5,Lugano,0.1,56
340,8.3,12.2,79.8,2.5,Lugano,0.1,56
341,8.3,12.2,79.8,2.5,Lugano,0.1,56
342,8.3,12.2,79.8,2.5,Lugano,0.1,56
343,4.3,9.8,72.2,2.5,Lugano,0.1,57
344,4.3,9.8,72.2,2.5,Lugano,0.1,57
345,4.3,9.8,72.2,2.5,Lugano,0.1,57
346,4.3,9.8,72.2,2.5,Lugano,0.1,57
347,4.3,9.8,72.2,2.5,Lugano,0.1,57
348,4.3,9.8,72.2,2.5,Lugano,0.1,57
349,8.5,13.0,127.4,4.5,Lugano,0.4,58
350,8.5,13.0,127.4,4.5,Lugano,0.4,58
351,8.5,13.0,127.4,4.5,Lugano,0.4,58
352,8.5,13.0,127.4,4.5,Lugano,0.4,58
353,8.5,13.0,127.4,4.5,Lugano,0.4,58
354,8.5,13.0,127.4,4.5,Lugano,0.4,58
355,7.9,13.0,178.0,7.8,Lugano,0.7,59
356,7.9,13.0,178.0,7.8,Lugano,0.7,59
357,7.9,13.0,178.0,7.8,Lugano,0.7,59
358,7.9,13.0,178.0,7.8,Lugano,0.7,59
359,7.9,13.0,178.0,7.8,Lugano,0.7,59
360,7.9,13.0,178.0,7.8,Lugano,0.7,59
367,6.5,15.8,164.8,6.1,Lugano,0.55,61
368,6.5,15.8,164.8,6.1,Lugano,0.55,61
369,6.5,15.8,164.8,6.1,Lugano,0.55,61
370,6.5,15.8,164.8,6.1,Lugano,0.55,61
371,6.5,15.8,164.8,6.1,Lugano,0.55,61
372,6.5,15.8,164.8,6.1,Lugano,0.55,61
373,9.0,11.0,153.9,5.5,Lugano,0.42,62
374,9.0,11.0,153.9,5.5,Lugano,0.42,62
375,9.0,11.0,153.9,5.5,Lugano,0.42,62
376,9.0,11.0,153.9,5.5,Lugano,0.42,62
377,9.0,11.0,153.9,5.5,Lugano,0.42,62
378,9.0,11.0,153.9,5.5,Lugano,0.42,62
379,8.0,13.0,202.4,8.3,Lugano,0.63,63
380,8.0,13.0,202.4,8.3,Lugano,0.63,63
381,8.0,13.0,202.4,8.3,Lugano,0.63,63
382,8.0,13.0,202.4,8.3,Lugano,0.63,63
383,8.0,13.0,202.4,8.3,Lugano,0.63,63
384,8.0,13.0,202.4,8.3,Lugano,0.63,63
385,6.0,14.0,177.6,7.4,Lugano,0.63,64
386,6.0,14.0,177.6,7.4,Lugano,0.63,64
387,6.0,14.0,177.6,7.4,Lugano,0.63,64
388,6.0,14.0,177.6,7.4,Lugano,0.63,64
389,6.0,14.0,177.6,7.4,Lugano,0.63,64
390,6.0,14.0,177.6,7.4,Lugano,0.63,64
391,6.1,17.8,472.1,23.2,Lugano,1.75,65
392,6.1,17.8,472.1,23.2,Lugano,1.75,65
393,6.1,17.8,472.1,23.2,Lugano,1.75,65
394,6.1,17.8,472.1,23.2,Lugano,1.75,65
395,6.1,17.8,472.1,23.2,Lugano,1.75,65
396,6.1,17.8,472.1,23.2,Lugano,1.75,65
403,6.2,16.5,469.6,22.8,Lugano,1.54,67
404,6.2,16.5,469.6,22.8,Lugano,1.54,67
405,6.2,16.5,469.6,22.8,Lugano,1.54,67
406,6.2,16.5,469.6,22.8,Lugano,1.54,67
407,6.2,16.5,469.6,22.8,Lugano,1.54,67
408,6.2,16.5,469.6,22.8,Lugano,1.54,67
409,6.5,16.2,596.8,29.5,Lugano,2.04,68
410,6.5,16.2,596.8,29.5,Lugano,2.04,68
411,6.5,16.2,596.8,29.5,Lugano,2.04,68
412,6.5,16.2,596.8,29.5,Lugano,2.04,68
413,6.5,16.2,596.8,29.5,Lugano,2.04,68
414,6.5,16.2,596.8,29.5,Lugano,2.04,68
415,7.4,21.0,599.6,30.6,Lugano,2.36,69
416,7.4,21.0,599.6,30.6,Lugano,2.36,69
417,7.4,21.0,599.6,30.6,Lugano,2.36,69
418,7.4,21.0,599.6,30.6,Lugano,2.36,69
419,7.4,21.0,599.6,30.6,Lugano,2.36,69
420,7.4,21.0,599.6,30.6,Lugano,2.36,69
421,9.3,18.0,638.0,31.0,Lugano,1.68,70
422,9.3,18.0,638.0,31.0,Lugano,1.68,70
423,9.3,18.0,638.0,31.0,Lugano,1.68,70
424,9.3,18.0,638.0,31.0,Lugano,1.68,70
425,9.3,18.0,638.0,31.0,Lugano,1.68,70
426,9.3,18.0,638.0,31.0,Lugano,1.68,70
427,7.0,17.0,583.2,29.9,Lugano,2.24,71
428,7.0,17.0,583.2,29.9,Lugano,2.24,71
429,7.0,17.0,583.2,29.9,Lugano,2.24,71
430,7.0,17.0,583.2,29.9,Lugano,2.24,71
431,7.0,17.0,583.2,29.9,Lugano,2.24,71
432,7.0,17.0,583.2,29.9,Lugano,2.24,71
433,8.8,20.2,582.3,30.3,Lugano,1.92,72
434,8.8,20.2,582.3,30.3,Lugano,1.92,72
435,8.8,20.2,582.3,30.3,Lugano,1.92,72
436,8.8,20.2,582.3,30.3,Lugano,1.92,72
437,8.8,20.2,582.3,30.3,Lugano,1.92,72
438,8.8,20.2,582.3,30.3,Lugano,1.92,72
445,8.2,18.0,642.5,34.6,Lugano,2.13,74
446,8.2,18.0,642.5,34.6,Lugano,2.13,74
447,8.2,18.0,642.5,34.6,Lugano,2.13,74
448,8.2,18.0,642.5,34.6,Lugano,2.13,74
449,8.2,18.0,642.5,34.6,Lugano,2.13,74
450,8.2,18.0,642.5,34.6,Lugano,2.13,74
451,10.8,20.6,1777.8,85.1,Lugano,3.62,75
452,10.8,20.6,1777.8,85.1,Lugano,3.62,75
453,10.8,20.6,1777.8,85.1,Lugano,3.62,75
454,10.8,20.6,1777.8,85.1,Lugano,3.62,75
455,10.8,20.6,1777.8,85.1,Lugano,3.62,75
456,10.8,20.6,1777.8,85.1,Lugano,3.62,75
457,9.3,23.2,1228.3,75.9,Lugano,4.17,76
458,9.3,23.2,1228.3,75.9,Lugano,4.17,76
459,9.3,23.2,1228.3,75.9,Lugano,4.17,76
460,9.3,23.2,1228.3,75.9,Lugano,4.17,76
461,9.3,23.2,1228.3,75.9,Lugano,4.17,76
462,9.3,23.2,1228.3,75.9,Lugano,4.17,76
463,10.6,19.4,1062.9,66.9,Lugano,3.25,77
464,10.6,19.4,1062.9,66.9,Lugano,3.25,77
465,10.6,19.4,1062.9,66.9,Lugano,3.25,77
466,10.6,19.4,1062.9,66.9,Lugano,3.25,77
467,10.6,19.4,1062.9,66.9,Lugano,3.25,77
468,10.6,19.4,1062.9,66.9,Lugano,3.25,77
469,9.8,15.2,502.0,25.8,Lugano,1.61,78
470,9.8,15.2,502.0,25.8,Lugano,1.61,78
471,9.8,15.2,502.0,25.8,Lugano,1.61,78
472,9.8,15.2,502.0,25.8,Lugano,1.61,78
473,9.8,15.2,502.0,25.8,Lugano,1.61,78
474,9.8,15.2,502.0,25.8,Lugano,1.61,78
475,10.1,16.5,685.5,35.0,Lugano,1.99,79
476,10.1,16.5,685.5,35.0,Lugano,1.99,79
477,10.1,16.5,685.5,35.0,Lugano,1.99,79
478,10.1,16.5,685.5,35.0,Lugano,1.99,79
479,10.1,16.5,685.5,35.0,Lugano,1.99,79
480,10.1,16.5,685.5,35.0,Lugano,1.99,79
481,8.9,16.5,553.8,32.1,Lugano,1.95,80
482,8.9,16.5,553.8,32.1,Lugano,1.95,80
483,8.9,16.5,553.8,32.1,Lugano,1.95,80
484,8.9,16.5,553.8,32.1,Lugano,1.95,80
485,8.9,16.5,553.8,32.1,Lugano,1.95,80
486,8.9,16.5,553.8,32.1,Lugano,1.95,80
487,11.6,19.0,960.6,60.9,Lugano,2.83,81
488,11.6,19.0,960.6,60.9,Lugano,2.83,81
489,11.6,19.0,960.6,60.9,Lugano,2.83,81
490,11.6,19.0,960.6,60.9,Lugano,2.83,81
491,11.6,19.0,960.6,60.9,Lugano,2.83,81
492,11.6,19.0,960.6,60.9,Lugano,2.83,81
499,11.5,19.5,1143.7,73.2,Lugano,3.74,83
500,11.5,19.5,1143.7,73.2,Lugano,3.74,83
501,11.5,19.5,1143.7,73.2,Lugano,3.74,83
502,11.5,19.5,1143.7,73.2,Lugano,3.74,83
503,11.5,19.5,1143.7,73.2,Lugano,3.74,83
504,11.5,19.5,1143.7,73.2,Lugano,3.74,83
511,12.0,20.0,1512.2,113.0,Lugano,5.37,85
512,12.0,20.0,1512.2,113.0,Lugano,5.37,85
513,12.0,20.0,1512.2,113.0,Lugano,5.37,85
514,12.0,20.0,1512.2,113.0,Lugano,5.37,85
515,12.0,20.0,1512.2,113.0,Lugano,5.37,85
516,12.0,20.0,1512.2,113.0,Lugano,5.37,85
517,11.0,19.0,1115.6,78.0,Lugano,3.85,86
518,11.0,19.0,1115.6,78.0,Lugano,3.85,86
519,11.0,19.0,1115.6,78.0,Lugano,3.85,86
520,11.0,19.0,1115.6,78.0,Lugano,3.85,86
521,11.0,19.0,1115.6,78.0,Lugano,3.85,86
522,11.0,19.0,1115.6,78.0,Lugano,3.85,86
523,12.0,21.0,2110.5,127.0,Lugano,6.3,87
524,12.0,21.0,2110.5,127.0,Lugano,6.3,87
525,12.0,21.0,2110.5,127.0,Lugano,6.3,87
526,12.0,21.0,2110.5,127.0,Lugano,6.3,87
527,12.0,21.0,2110.5,127.0,Lugano,6.3,87
528,12.0,21.0,2110.5,127.0,Lugano,6.3,87
529,14.0,18.0,1988.0,88.0,Lugano,4.42,88
530,14.0,18.0,1988.0,88.0,Lugano,4.42,88
531,14.0,18.0,1988.0,88.0,Lugano,4.42,88
532,14.0,18.0,1988.0,88.0,Lugano,4.42,88
533,14.0,18.0,1988.0,88.0,Lugano,4.42,88
534,14.0,18.0,1988.0,88.0,Lugano,4.42,88
535,11.0,22.0,1614.9,112.0,Lugano,5.76,89
536,11.0,22.0,1614.9,112.0,Lugano,5.76,89
537,11.0,22.0,1614.9,112.0,Lugano,5.76,89
538,11.0,22.0,1614.9,112.0,Lugano,5.76,89
539,11.0,22.0,1614.9,112.0,Lugano,5.76,89
