image_id,Height,Diameter,LeafArea,FreshWeightShoot,Variety,DryWeightShoot
267,20.0,29.3,2395.0,156.0,Aphylion,6.47
269,20.1,29.8,3805.5,208.8,Aphylion,9.98
270,22.5,27.5,3537.2,229.8,Aphylion,9.75
271,21.5,30.0,4073.6,303.1,Aphylion,12.62
272,23.1,27.2,4606.6,263.2,Aphylion,12.17
345,25.0,32.0,5316.5,459.7,Aphylion,16.64
346,24.5,33.0,4516.2,364.8,Aphylion,14.69
347,24.0,34.5,4995.6,444.7,Aphylion,17.24
348,20.5,34.0,5179.7,425.6,Aphylion,16.47
350,22.0,40.0,4891.7,414.2,Aphylion,18.21
352,22.0,33.2,5218.3,268.9,Aphylion,11.77
353,21.0,34.5,6875.4,313.1,Aphylion,14.15
356,21.0,30.0,3398.0,247.1,Aphylion,13.42
357,18.0,32.5,4260.7,314.0,Aphylion,15.84
358,19.5,34.0,5136.8,309.1,Aphylion,13.61
359,20.5,37.0,5868.0,371.0,Aphylion,15.41
361,22.0,32.0,4991.0,292.4,Aphylion,14.07
363,23.0,40.0,5116.4,405.7,Aphylion,16.71
6,8.4,13.4,107.8,3.3,Lugano,0.14
8,8.3,12.2,79.8,2.5,Lugano,0.1
9,4.3,9.8,72.2,2.5,Lugano,0.1
20,8.5,13.0,127.4,4.5,Lugano,0.4
21,7.9,13.0,178.0,7.8,Lugano,0.7
22,5.4,13.3,121.0,4.7,Lugano,0.41
25,6.5,15.8,164.8,6.1,Lugano,0.55
27,9.0,11.0,153.9,5.5,Lugano,0.42
28,8.0,13.0,202.4,8.3,Lugano,0.63
29,6.0,14.0,177.6,7.4,Lugano,0.63
68,6.1,17.8,472.1,23.2,Lugano,1.75
70,7.3,19.5,536.2,26.5,Lugano,1.82
71,6.2,16.5,469.6,22.8,Lugano,1.54
72,6.5,16.2,596.8,29.5,Lugano,2.04
74,7.4,21.0,599.6,30.6,Lugano,2.36
76,9.3,18.0,638.0,31.0,Lugano,1.68
77,7.0,17.0,583.2,29.9,Lugano,2.24
79,8.8,20.2,582.3,30.3,Lugano,1.92
81,8.1,17.1,492.9,23.2,Lugano,1.6
82,8.2,18.0,642.5,34.6,Lugano,2.13
133,10.8,20.6,1777.8,85.1,Lugano,3.62
134,9.3,23.2,1228.3,75.9,Lugano,4.17
135,10.6,19.4,1062.9,66.9,Lugano,3.25
136,9.8,15.2,502.0,25.8,Lugano,1.61
138,10.1,16.5,685.5,35.0,Lugano,1.99
139,8.9,16.5,553.8,32.1,Lugano,1.95
140,11.6,19.0,960.6,60.9,Lugano,2.83
143,10.6,20.3,1243.7,87.4,Lugano,4.24
144,11.5,19.5,1143.7,73.2,Lugano,3.74
146,10.4,21.3,1217.1,85.5,Lugano,4.3
195,12.0,20.0,1512.2,113.0,Lugano,5.37
196,11.0,19.0,1115.6,78.0,Lugano,3.85
197,12.0,21.0,2110.5,127.0,Lugano,6.3
202,14.0,18.0,1988.0,88.0,Lugano,4.42
203,11.0,22.0,1614.9,112.0,Lugano,5.76
204,12.0,24.0,2253.3,135.0,Lugano,6.33
206,13.0,22.0,2063.3,141.0,Lugano,6.42
241,16.0,25.0,2705.0,240.0,Lugano,9.48
243,13.0,21.8,3768.0,152.4,Lugano,7.84
244,16.4,24.0,2715.4,193.1,Lugano,9.31
245,17.0,20.0,2612.8,179.9,Lugano,6.6
246,15.0,24.5,3777.1,224.1,Lugano,8.61
249,14.8,23.1,3278.3,173.6,Lugano,7.54
285,17.0,24.0,3319.3,318.4,Lugano,12.65
286,18.0,27.5,3143.7,320.1,Lugano,11.84
287,17.0,26.0,3065.1,318.4,Lugano,12.66
289,17.0,26.5,3106.8,285.8,Lugano,10.43
290,16.0,27.0,2741.1,282.8,Lugano,10.67
293,17.0,26.0,2476.6,221.5,Lugano,8.29
297,17.0,29.0,2648.4,227.8,Lugano,10.07
298,15.0,30.0,5069.1,315.8,Lugano,12.95
299,15.0,29.0,3646.3,300.0,Lugano,11.24
300,16.5,29.0,3095.6,284.4,Lugano,9.44
301,16.5,26.5,4068.8,325.1,Lugano,11.26
302,16.5,29.0,4062.0,392.0,Lugano,12.68
310,18.0,27.0,3208.4,311.0,Lugano,10.89
311,17.0,26.0,3571.3,355.4,Lugano,12.36
11,5.6,16.5,74.8,2.0,Salanova,0.11
14,5.6,13.1,87.5,2.4,Salanova,0.14
32,7.7,20.0,260.2,7.3,Salanova,0.88
34,6.5,18.6,161.8,4.5,Salanova,0.6
35,7.0,19.5,188.8,5.5,Salanova,0.65
39,7.5,19.4,242.7,7.4,Salanova,0.64
40,7.0,17.5,149.6,4.2,Salanova,0.43
42,9.8,17.2,202.7,5.2,Salanova,0.58
43,8.6,17.2,140.8,3.9,Salanova,0.46
84,6.8,18.5,520.1,16.4,Salanova,1.22
86,5.4,17.4,412.3,12.5,Salanova,1.01
87,7.3,22.1,578.5,18.8,Salanova,1.31
88,5.7,21.5,620.8,21.1,Salanova,1.76
89,8.7,23.4,696.1,22.6,Salanova,1.6
93,8.9,21.0,562.2,17.0,Salanova,1.24
97,5.7,19.5,578.2,18.6,Salanova,1.62
98,7.8,17.0,330.6,10.3,Salanova,0.93
99,6.5,24.5,773.2,27.3,Salanova,1.91
148,11.3,24.2,1721.5,63.2,Salanova,3.75
149,11.0,23.1,928.8,33.5,Salanova,2.11
150,11.3,27.2,1466.6,55.2,Salanova,3.09
152,11.3,28.5,1866.7,73.5,Salanova,3.86
153,12.5,24.5,1554.8,56.0,Salanova,2.96
154,12.1,24.6,1674.7,60.3,Salanova,3.38
156,13.1,25.0,1115.5,47.2,Salanova,2.41
161,10.3,24.3,1214.1,50.4,Salanova,2.81
162,12.5,27.1,1769.8,60.4,Salanova,3.71
163,9.8,25.3,1451.8,57.6,Salanova,0.36
207,10.0,23.0,1445.9,55.0,Salanova,3.88
210,12.0,25.0,1568.2,64.0,Salanova,4.04
212,8.0,23.0,1822.1,60.0,Salanova,3.79
214,9.0,21.0,1703.9,57.0,Salanova,3.7
215,10.5,27.0,2804.1,90.0,Salanova,4.94
216,10.0,24.0,1928.0,74.0,Salanova,4.41
217,11.0,26.0,1626.2,67.0,Salanova,4.49
218,11.0,27.0,2153.6,96.0,Salanova,4.81
250,15.5,36.3,3855.3,164.3,Salanova,8.58
251,13.5,29.0,2893.2,116.5,Salanova,7.04
252,12.9,28.4,2593.7,128.7,Salanova,7.18
253,11.1,28.1,3979.1,186.0,Salanova,9.4
255,15.8,32.0,3089.2,133.2,Salanova,6.84
256,16.5,33.3,5001.9,207.5,Salanova,10.38
258,15.5,36.0,3005.8,145.4,Salanova,7.63
260,15.0,33.1,4006.5,128.3,Salanova,8.47
313,15.5,30.5,3694.1,197.7,Salanova,10.95
315,15.0,30.5,3928.0,207.7,Salanova,11.0
316,15.0,29.0,3986.3,220.9,Salanova,12.13
318,14.0,33.0,3714.5,180.4,Salanova,10.69
319,17.0,31.3,4964.8,254.6,Salanova,13.03
321,16.0,34.0,4143.9,216.6,Salanova,11.55
323,14.3,27.5,3163.1,173.4,Salanova,7.36
325,17.1,34.0,5194.0,259.4,Salanova,12.56
329,16.5,32.0,6365.0,324.1,Salanova,13.9
330,17.0,29.0,4112.6,240.1,Salanova,8.94
332,15.0,29.0,4153.3,232.5,Salanova,10.49
334,15.4,39.2,4279.3,229.2,Salanova,11.69
335,17.0,33.0,5088.8,268.4,Salanova,12.11
337,16.0,30.1,4226.5,279.4,Salanova,12.87
338,13.6,22.5,3987.9,184.2,Salanova,10.42
341,18.0,35.2,4557.3,219.1,Salanova,11.51
342,15.0,32.3,4255.6,272.6,Salanova,13.48
1,8.2,12.0,80.6,2.6,Satine,0.14
2,8.5,8.2,67.4,2.1,Satine,0.1
3,7.5,9.5,65.0,2.0,Satine,0.09
56,6.5,14.4,135.7,5.0,Satine,0.48
57,8.8,10.3,191.2,7.3,Satine,0.5
58,6.2,13.5,129.8,4.0,Satine,0.32
59,7.0,13.5,161.0,6.2,Satine,0.45
60,7.2,13.1,119.5,3.9,Satine,0.28
63,5.5,19.2,159.8,6.0,Satine,0.45
64,6.0,12.0,161.6,6.0,Satine,0.43
66,7.0,10.6,138.1,4.6,Satine,0.37
118,7.0,16.0,598.7,23.0,Satine,1.28
120,7.1,17.0,407.2,17.1,Satine,1.08
122,7.5,18.1,452.3,23.2,Satine,1.36
125,8.4,17.0,538.2,22.3,Satine,1.36
126,8.8,19.1,606.7,26.4,Satine,1.48
128,7.8,18.3,735.8,35.5,Satine,2.12
129,8.5,18.1,492.4,22.3,Satine,1.29
131,8.7,20.1,714.4,31.2,Satine,1.76
180,12.0,21.6,1225.0,70.0,Satine,3.28
182,9.2,18.0,695.6,39.1,Satine,2.13
183,11.8,21.3,1076.2,63.0,Satine,2.8
184,10.6,19.0,770.0,34.0,Satine,1.69
187,9.8,20.6,876.8,48.0,Satine,2.24
188,11.9,20.4,1061.8,61.6,Satine,2.8
190,10.8,21.4,1103.5,68.5,Satine,2.95
191,9.5,21.7,986.2,56.0,Satine,2.49
193,9.0,24.2,1153.4,74.0,Satine,3.63
194,9.4,21.2,999.2,48.8,Satine,2.21
229,11.0,21.0,1090.2,71.0,Satine,3.69
230,11.0,21.0,1212.5,82.0,Satine,3.7
234,11.0,24.0,2059.2,104.0,Satine,4.75
235,11.0,23.0,1329.4,91.0,Satine,4.15
236,11.0,22.0,1237.5,70.0,Satine,3.51
237,10.0,25.0,1648.3,102.0,Satine,5.21
240,11.0,21.0,1251.4,66.0,Satine,3.91
273,16.5,25.0,1997.9,143.0,Satine,6.44
275,14.0,22.0,1508.7,118.3,Satine,6.0
276,16.0,24.0,1707.4,119.9,Satine,5.41
278,18.3,27.0,1881.5,137.2,Satine,6.71
279,16.5,22.2,1822.9,134.4,Satine,6.16
282,15.0,24.0,1977.0,125.1,Satine,6.0
366,19.0,27.0,3177.1,279.4,Satine,10.93
368,18.0,26.5,2091.8,172.7,Satine,7.9
369,14.0,25.0,1899.6,130.4,Satine,6.6
371,16.0,25.0,2620.8,229.6,Satine,10.11
372,19.0,26.0,2758.6,150.7,Satine,7.12
375,16.0,26.0,2820.6,251.9,Satine,10.97
376,18.0,25.0,2559.6,139.0,Satine,6.98
377,18.0,19.0,1817.7,134.7,Satine,6.28
378,19.5,28.5,2685.1,175.4,Satine,8.41
379,17.0,23.0,2083.8,145.3,Satine,7.08
380,17.5,27.5,2499.0,186.2,Satine,8.34
381,18.5,28.0,2420.3,184.7,Satine,7.39
382,18.0,24.0,2961.9,213.5,Satine,8.77
387,16.0,26.0,1858.3,163.2,Satine,9.17
389,15.0,25.6,2257.1,209.3,Satine,8.19
390,18.0,32.0,3179.4,204.5,Satine,9.2
